Social_media,Prices,Specialitys,Symptoms_treated,behavioralhealthQuestions,behavioralhealthAnswers,DermatologyQuestions,DermatologyAnswers,DermatologyAnswerlinks,Questions,Answers,AnswersLink,Titles,Date,BlogLink,Contactfor,Contacts
https://www.facebook.com/MDLIVETelehealth,$0-$82,Urgent Care,"Allergies
Birth Control*
Cold & Flu
Cough
COVID-19
Ear Pain
Headache
Insect Bites
Medication Refills
Pink Eye
Rash
Sinus Problems
Sore Throat
UTI (Adults Females, 18+)
Yeast Infections
And more",When are behavioral health appointments available?,"MDLIVE provides fast and easy appointment scheduling, often including evenings and weekends. This allows you to schedule an appointment as soon as possible with a date and time that works best for your schedule.",What is teledermatology?,"MDLIVE’s dermatology service is offered through our exclusive partnership with DermatologistOnCall. This service gives patients national access to board-certified dermatologists through a secure website or mobile device. Patients receive a full consultation, complete with a diagnosis, personalized treatment plan, and appropriate prescriptions. Patients are able to avoid lengthy waits for appointments and time-consuming trips to the doctor’s office.",https://www.mdlive.com/dermatology/#1515597739842-68e6f7ae-2b26,What is MDLIVE?,"With MDLIVE, you can access a board-certified doctor by secure online video, phone, or the MDLIVE app – anytime, anywhere, 24/7/365. MDLIVE is a low-cost, convenient alternative to Urgent Care Clinic visits or waiting days to get an appointment with your primary care doctor for non-emergency medical conditions. Our doctors can diagnose your symptoms, prescribe non-narcotic medication (if needed), and send e-prescriptions to your nearest pharmacy.Join Now",https://www.mdlive.com/patients/faqs/#1515597739842-68e6f7ae-2b26,3 Easy Ways to Destress,"January 4, 2021",https://www.mdlive.com/destress/,Customer Service,(800) 400-MDLIVE (6354)
https://twitter.com/MDLIVEInc,Therapy$0-$108Psychiatry$0-$284*,Behavioral Health,"Addictions
Aging & Caregiver Support
Anxiety
Bipolar
Depression
Grief & Loss
LGBTQ+ Support
Life Changes
Obsessive Compulsive Disorder (OCD)
Panic Disorders
Parenting Support
Phobias
Relationship Issues
Stress Management
Trauma & PTSD",What is the difference between a therapist and a psychiatrist?,Therapists are licensed providers who can evaluate and support people with emotional or behavioral health concerns through talk therapy. Psychiatrists are medical doctors who primarily diagnose psychiatric conditions and can prescribe medication.,How does teledermatology work?,"Getting started is easy! All visits are done in an asynchronous manner, unless the patient’s state requires a video consultation. Patients simply choose Dermatology from the medical options on MDLIVE’s patient dashboard. They will be taken to a partner site, powered by DermatologistOnCall. After answering a few basic questions and providing a brief medical history, the patient will be asked to upload photos of the skin, nail, or hair condition. In an average of 24 hours, patients are notified of a diagnosis and treatment plan from a board-certified dermatologist, which include prescriptions if necessary.",https://www.mdlive.com/dermatology/#1515598734197-fa4fa412-9cc8,Is MDLIVE appropriate for every medical condition?,"No. MDLIVE is designed to handle non-emergency medical conditions and can often substitute for a doctor’s office, Urgent Care Clinic, or Emergency Room visit for common conditions like the flu or pink eye. However, it is not intended to replace your primary care doctor or to be used in life-threatening emergencies.You should not use MDLIVE if you are experiencing a medical or mental health emergency. In the case of a life threatening medical or mental health emergency, dial 911 immediately.",https://www.mdlive.com/patients/faqs/#1515598734197-fa4fa412-9cc8,Insurance FAQ,"October 27, 2020",https://www.mdlive.com/insurance-faq/,Sales,"(888) 700-8312
Click here for Sales Inquiry"
https://www.linkedin.com/company/mdlive-inc-,$0-$95,Dermatology,"Acne
Alopecia (Hair loss)
Boils
Cold Sores
Cysts
Dermatitis (including Maskne)
Eczema
Folliculitis
Fungal Skin Infections
Hives
Keratosis
Rosacea
Skin Pigmentation Disorders
Suspicious Spots & Moles
Warts",Do I get to choose my therapist or psychiatrist?,"Yes, you always choose your provider and can see the same one each time, if desired. We actually encourage you to build an ongoing treatment relationship with one provider, just as you would in a brick-and-mortar office. MDLIVE provides a broad network of licensed providers. Our directory is easy to navigate and gives additional information about each provider that helps you feel confident in your choice.",Who can use MDLIVE’s teledermatology service?,Any adult can use the service. Minors under the age of 18 can be seen with parent or guardian consent.,https://www.mdlive.com/dermatology/#1529610858319-0a5d4b9f-d1c4,What are the most common conditions you care for?,"Our providers are trained to help with a wide variety of conditions and concerns.Urgent Care:AllergiesBirth Control*Cold & FluCoughCOVID-19Ear PainHeadacheInsect BitesMedication RefillsPink EyeRashSinus ProblemsSore ThroatUTI (Adults Females, 18+)Yeast InfectionsAnd moreBehavioral Health:AddictionsAging & Caregiver SupportAnxietyBipolarDepressionGrief & LossLGBTQ+ SupportLife ChangesObsessive Compulsive Disorder (OCD)Panic DisordersParenting SupportPhobiasRelationship IssuesStress ManagementTrauma & PTSDDermatology:AcneAlopecia (Hair loss)BoilsCold SoresCystsDermatitis (including Maskne)EczemaFolliculitisFungal Skin InfectionsHivesKeratosisRosaceaSkin Pigmentation DisordersSuspicious Spots & MolesWarts*Available in pill form only. Service available for women 18-45 who are not currently pregnant and have had a normal blood pressure reading in the past 6 months.More about what we care for",https://www.mdlive.com/patients/faqs/#1529610858319-0a5d4b9f-d1c4,Five Ways to Stay Active and Socially Connected,"September 11, 2020",https://www.mdlive.com/covidstress/,Provider Recruitment,"(888) 450-1572
Click here for Provider Recruitment"
https://www.youtube.com/user/MDLiveCare,,,,What are the most common issues therapists care for?,"MDLIVE therapists commonly care for patients that suffer from stress, anxiety, depression, and trauma. Although these are the most common issues we help with, our licensed therapists are trained to provide support for many behavioral health needs.",What conditions can be treated by a virtual dermatologist visit?,"Our dermatologists are trained to diagnose and treat over 3,000 medical conditions affecting the skin, hair, and nails. Depending on the case, the doctor may determine that an in-office diagnostic or therapeutic procedure is needed for a more accurate diagnosis or to best address the condition. That in-office visit would be outside of MDLIVE’s dermatology services, and payment or insurance coverage for those services would be separate.",https://www.mdlive.com/dermatology/#1515597739894-062f5369-826b,How do I sign up for MDLIVE or activate my MDLIVE account?,"You can easily sign up or activate your account by using one of the following methods:Go online and visit: mdlive.comCall our toll free number: 1-888-632-2738Download our Mobile App, available on the iTunes store and Google Play.** You will receive an email confirmation upon completion of registration for every member added to the account. All members on the account must have their own account, including children.",https://www.mdlive.com/patients/faqs/#1515597739894-062f5369-826b,MDLIVE Rash Guide,"July 20, 2020",https://www.mdlive.com/rashguide/,,
https://www.instagram.com/mdlive_inc/,,,,I have never had a therapy session before. What should I expect?,"First, remember that seeking therapy is very common. You can expect to speak with a compassionate, knowledgeable therapist who will both listen and provide guidance. Therapy is also about more than sharing your concerns. You will learn coping strategies to use outside the session, as well as how to set reasonable and attainable goes to work toward, in partnership with your provider, from session to session.","Can patients see a dermatologist for an emergency skin, hair, or nail issue?","Our dermatology services are not to be used in the event of an emergency. In case of a medical life threatening emergency, dial 911 immediately.",https://www.mdlive.com/dermatology/#1529610810788-6f197668-a3b5,When can I start using my MDLIVE service?,"You can start using MDLIVE immediately after you sign up and activate your account. Sign up and activation are totally free. If you are required to pay, you will only be asked for your credit card information when you visit with a doctor. Once you have an MDLIVE account, you can browse doctor profiles, view available appointment times, and schedule an appointment with the doctor of your choice. Want to go one step further? Be sure to fill out your medical history profile to better prepare your MDLIVE doctor for your appointment.",https://www.mdlive.com/patients/faqs/#1529610810788-6f197668-a3b5,When you should see a doctor for your allergies,"May 14, 2020",https://www.mdlive.com/see-a-doctor-for-your-allergies/,,
,,,,How much does it cost to see a therapist?,"Your cost will vary depending on your benefit and coverage. You can cancel your appointment and receive a full refund, provided that you cancel at least 24 hours before your appointment time. MDLIVE accepts most major credit and debit cards.",Can those who are pregnant or nursing see a dermatologist?,"Please note that pregnant or nursing mothers, or those who are trying to become pregnant, are not permitted to conduct an online dermatology visit.",https://www.mdlive.com/dermatology/#1529610771073-ff78d46e-d822,When is MDLIVE available?,"MDLIVE is available 24 hours a day, 7 days a week, and 365 days a year, even on holidays. Use MDLIVE anytime you have a non-emergency medical condition, are unable to see your primary care provider, or when you simply prefer a convenient, cost effective alternative to the emergency room, urgent care center, or clinic.",https://www.mdlive.com/patients/faqs/#1529610771073-ff78d46e-d822,Pediatrics FAQ,"April 20, 2020",https://www.mdlive.com/pediatrics-faq/,,
,,,,Can I get medication prescriptions through MDLIVE visits?,"Yes, if your MDLIVE psychiatrist believes medication is warranted, he or she can write a prescription and send it directly to the pharmacy of your choice. Please be aware that we do not prescribe controlled substances (e.g., narcotic medications, anxiolytics, stimulants), nor do we prescribe certain other medications (**[see Full List here](https://www.mdlive.com/what-we-treat/)**). And finally, MDLIVE does not guarantee a prescription will be written; that will be determined by the doctor, based on your clinical presentation.",When is teledermatology available?,"Teledermatology is available 24 hours a day, 7 days a week, and 365 days a year, even on holidays. Use MDLIVE’s dermatology service as a convenient alternative to visiting the dermatologist’s office or as a way to avoid a lengthy wait for an appointment!",https://www.mdlive.com/dermatology/#1529610737333-ffee5d22-722c,Where is MDLIVE available?,MDLIVE is available anywhere in the United States**. Our network of Board Certified doctors will be provided to you based on the state you are located. We make sure that each doctor is fully licensed to practice medicine in your state.**Availability of phone visits varies in accordance with state regulations,https://www.mdlive.com/patients/faqs/#1529610737333-ffee5d22-722c,Coronavirus – What You Need To Know,"March 26, 2020",https://www.mdlive.com/coronavirus/,,
,,,,Is my session safe and private?,Confidentiality is a respected part of MDLIVE’s Code of Ethics. We take your privacy very seriously. Laws are also in place to protect your privacy. The HIPAA Privacy Rule is designed to be a minimum level of protection. Some states have even stricter laws in place to protect your personal health information. MDLIVE can share your information with your PCP in accordance with applicable state and federal laws.,Who are the dermatologists?,"Through our exclusive partnership with DermtologistOnCall, we have the largest national network of dermatologists who are American Board of Dermatology or American Osteopathic Association certified. All dermatologists live within the United States and only see patients in states for which they are licensed. Each dermatologist is credentialed according to NCQA guidelines.",https://www.mdlive.com/dermatology/#1529610541702-ef38acd1-9d27,How much does it cost to use MDLIVE?,"Getting started is totally free. If you’re receiving MDLIVE as part of a group benefit, you may not be required to pay at all. If you are required to pay, you will only be charged after you choose to consult with a doctor and your appointment time and payment information are confirmed. You can cancel your appointment and receive a full refund, provided that you cancel at least 24 hours before your appointment time. MDLIVE accepts most major credit and debit cards.",https://www.mdlive.com/patients/faqs/#1529610541702-ef38acd1-9d27,How MDLIVE Delivers Accurate and Reliable Care,"March 6, 2020",https://www.mdlive.com/how-a-telehealth-visit-works/,,
,,,,Can MDLIVE providers complete disability paperwork or write notes for emotional support animals or other recommendations?,"No, MDLIVE behavioral health providers do not make any formal written recommendations or complete any outside paperwork. We suggest you contact your primary care provider or seek an in-person evaluation for any written recommendations.",What if medication is needed?,"If the dermatologist determines a medication is necessary, they can write a prescription. For states that allow e-prescriptions from teledermatology, an order will be sent directly to the pharmacy. In other states, the dermatologist will need to fax the order through their office.",https://www.mdlive.com/dermatology/#1529609836776-cb9f5102-3940,Can MDLIVE be accessed on mobile devices?,"Yes, MDLIVE can be accessed on most mobile devices with an Internet connection. Our MDLIVE Mobile App is available for download in the iTunes Store and the Google Play Store.",https://www.mdlive.com/patients/faqs/#1529609836776-cb9f5102-3940,MDLIVE Mucus guide,"February 12, 2020",https://www.mdlive.com/mucusguide/,,
,,,,I have a question that isn’t listed here. Can you help me?,"Don’t see your question? Don’t worry. Just call us at 1-888-632-2738. We have highly trained health service specialists standing by to take your call, 24/7/365.",How much does it cost to see a dermatologist?,"If MDLIVE is a covered benefit through your current health coverage, you will be responsible for your medical specialist co-pay or co-insurance at the time of service. If an in-office diagnostic or therapeutic procedure is needed for a more accurate diagnosis or to best address the condition, that visit would be outside of MDLIVE’s dermatology services, and payment or insurance coverage for those services would be separate.",https://www.mdlive.com/dermatology/#1529609796169-3f112eb1-79b4,Can a provider prescribe medication as part of an MDLIVE visit?,"Yes, if the MDLIVE doctor believes medication is warranted, he or she can write a prescription and send it directly to the pharmacy of your choice. Please be aware that we do not prescribe controlled substances (e.g. narcotic medications, anxiolytics, stimulants), nor do we prescribe certain other medications (see Full list here). And finally, MDLIVE does not guarantee a prescription will be written; that will be determined by the physician, based on your clinical presentation.",https://www.mdlive.com/patients/faqs/#1529609796169-3f112eb1-79b4,MDLIVE Your Cold and Flu Resource,"December 9, 2019",https://www.mdlive.com/mdlive-your-cold-and-flu-resource/,,
